,post,response
3420,The military used to be a stepping stone to police careers. When “defunded” and disrespected the police we destroyed incentives to enlist. Plus mandatory vaccines and vilifying the military personnel as “radical “ for being patriots. It was the perfect storm against our military recruiting numbers. If you reverse those things and increase desire to serve as police and sheriff and border patrol again then military recruitment will go up on its own.,reinforce
3421,This woman needs the death penalty NOW,reinforce
3422,"I doubt a draft dodger with ""bone spurs."" That called us military people losers would care about mandated military service. BUT I think all Schools should be ran like boot camp from 6th grade up. Maybe, since parents do not know how to teach respect to their children. Maybe the military could.",reinforce
3423,"DEGENERATE is SUCH a PERFECT ADJECTIVE FOR THESE SCUM . . Your very first laws must declare ALL degenerates barred from Public Office , the Media, and any other role of national importance - Reestablishing ""Old School Values"" is ESSENTIAL!!!",reinforce
3424,"Its a tan line... his head is so far up chyna's ass, it never sees daylight.",reinforce
3425,Strange. Could be just shadows cast by strong lights. Here's the video.,reinforce
3426,That is a really fake neck line. Mask or AI? ☕,reinforce
3427,The old couple in the back look like they are really feeling the pain.,reinforce
3428,CGI overlay without even trying to correct color/blend mismatch. 😉😁,reinforce
3429,"""The Fake News Washington Post came up with the ridiculous idea that Donald J. Trump will call for Mandatory Military Service,"" Trump wrote in a TRUTH Social post. ""This is only a continuation of their EIGHT YEAR failed attempt to damage me with the Voters.""",reinforce
3430,"They could march out ""Big Bird"" or ""Barnie"" and the normies would still think it was Joe if the media says it is. Its weird.",reinforce
3431,"I see a shadow cast by the collar of his shirt. Looking at the background, you can tell it's a dark room he's in. I'm all about the masks and stuff, but this looks like lighting and shadows.",shift
3432,What's wrong with you people? There's more than one damn light shining on that dumbass. Pretty positive that my observation is correct but really I could give two shits either way.,reinforce
3433,"Respectfully, are the brown eyes lighting too?",shift
3434,Nice mask.,reinforce
3435,Executive Order 13912 is still active for the ready reserve. NG and Reserve components flying all week and across state lines. Even being deployed overseas.,reinforce
3436,This was about the mask aspect and so that it what i addressed. Do i think that's Biden? no... well at least not the original one.,reinforce
3437,"Control. Don't pay taxes and you end up in a legal battle owing lawyers on top of what the gov/IRS demands from one. Intimidation, fear, and harassment to control the pesants. History repeats itself...the wealthy elite eventualy end up as tyrants, might take a few hundred years, but empires fall.",shift
3438,Jim Carrey in “The Mask 3”,shift
3439,An actor in the movie we’re watching and living in 🍿🍿🍿,reinforce
3440,Klaus schwab in the shadows,reinforce
3441,"Who's ""you people""?",reinforce
3442,"In watching the clip the guy interviewing Biden looks the same around the neck, so it does look like shadows (this time 😉).",reinforce
3443,That is a mask.,reinforce
3444,Looks like his mask is coming off!,reinforce
3445,"Lol, seriously? Are you 12? Don't answer that....take care and good day to you",reinforce
3446,An obvious shadow from the collar of his shirt.,shift
3447,Definitely not lights and shadows!,reinforce
3448,Biden's mask doesn't get tan at the beach. 🏖️,reinforce
3449,I'm with ya...it's a shadow. You can even see the shadow edge changing as he moves.,reinforce
3450,Good eye Thumbs,reinforce
3451,It really doesn’t mean a damn thing when he says this stuff on TruthSocial. He needs to start saying it on X and TikTok!,reinforce
3452,"If they print what they want to steal , why they need our measly lil bit of money?",reinforce
3453,Note the shine on the top of his head.. that wouldn't be a correct shadow.,reinforce
3454,Uh... clearly it's not...,reinforce
3455,Uh... clearly it is.,reinforce
3456,There should be a bar exam for teachers AND students.,shift
3457,Restore the honor of the service by ending the failed attempt at ‘social engineering’.,reinforce
3458,"We wouldn't want to depend on the vast majority of them, brainwashed, lazy and entitled as they have become. Besides, that would be more of a Democrat Marxist thing to do to move them all into government healthcare, to finish destroying that, also.",reinforce
3459,Trump shoots down suggestions he would institute mandatory military service,reinforce
3460,"Requiring taking the ASVAB test isn't a bad idea at all. Not for the purposes of encouraging enlistment into the military, rather as a defined IQ test, as an addition to taking SAT/ACT pre-college tests, as a measuring tool to know what each student is capable in all their future endeavors.",reinforce
3461,😂 fake news and democrat making more stuff up!! Now they making it seem like voting for @ realDonaldTrump would cause major conflict!! 😂 Trump doesn’t need more troops as he created zero wars and spread peace around the world. Something Democrat voters literally votes against. 😂 now the warmongers are projecting!! Sad lies.,reinforce
3462,Captain bonespurs of the I’m a fucking coward brigade in the 2division of the chickenshit corps D J Trump coward first class with a framed dishonor for vets card and disdain for suckers and losers of the real military certificate says he would institute a several based military and probably outsource it to mother Russia after all he is a Putin cuck,reinforce
3463,Every draft since the first Civil War has been instituted by Democrats # facts,reinforce
3464,Can you imagine? Then the Warmongering DemoFascist Police State could start a war and cash in on your family members dead bodies any time they want.,reinforce
3465,USA professional military NOT conscripted NOT drafted Was beautiful What changed it was too much money 1500 billion a year for veterans For what Taliban to Taliban nazis in nasa and nato Support police The real defenders of civilization That DOES not mean ruin them also with TOO MUCH MONEY,reinforce
3466,President Trump has no need to make military service mandatory. There are probably hundreds of thousands who would gladly serve under him once he is Commander-In-Chief again. Besides that there are thousands and thousands of vets who will answer the call when the time comes.,reinforce
3467,"What a joke it’s not going to be Trump, it is going to be Biden.",reinforce
3468,"Democrats are lying about Trump wanting to reinstate the draft to scare young voters thinking if Trump win, they will have to fight against Russia. Everything Dems say is a lie.",reinforce
3469,Democrats always do what they accuse Republicans of doing. Biden wants a draft to send our military to Ukraine.,reinforce
3470,"The leftist are only going to play dirtier, and dirtier in the months ahead. Gird your loins patriots.",reinforce
3471,Exactly. Young people can’t buy a house & rents are sky high.,reinforce
3472,"Haha, you won't need a draft once Trump becomes president. Just as there will be a red wave in November, there will be a wave of recruits into the military to help clean up the remaining swamp and rebuild America. Make America Great Again.",reinforce
3473,I actually agree that mandatory service to our country is a good idea. We’ve created a generation of snowflakes that have no concept of the cost of freedom.,reinforce
3474,"The only President NOT to start a new war in decades, said what?? 🙄 # ThePeaceAndProsperityPresident ✌️🕊✌️",reinforce
3475,"The evil concepts they adhere to are going to be difficult to break. Pres. Trump's going to have to go in & exert free speech laws on the media. Communism is not legal in this country. They are using communist propaganda tactics against Pres. Trump & are financially being supported by Barry's & obriben's presidency for it. All federal funding must be removed. If they can't survive on advertising dollars, maybe they should find something different to do. This is all communist propaganda.",reinforce
